				
Trivia Game, Multiple Choice				
Enter your questions and answers below.				
Note that synonyms for answers that aren't just partial matches can be separated with the '|' character.				
Remember to change your game title and settings in the Configuration tab.				
				
Question	Correct Answer	Incorrect Answer 1	Incorrect Answer 2	Follow Up
What is the last name of the oldest of the American Founding Fathers?	Franklin	Washington	Adams	Benjamin Franklin was, by far the oldest, with Washington and Adams a distant second and third.
What year was Benjamin Franklin born?	1706	1732	1735	Born in 1706, Franklin was 26 years older than Washington and almost 30 years older than Adams.
Which Founding Father is known as the Father of Our Country?	George Washington	Alexander Hamilton	Thomas Jefferson	The stoic Washington served as General of the Continental Army without pay, earning him the respect of all Americans.
Which Founding Father is the principal author of the Declaration of Independence?	Thomas Jefferson	John Adams	Patrick Henry	Jefferson's original version harshly accused King Greorge of bringing slavery to America, but it was deleted from the final version.
Which Founding Father negotiated a peaceful end to the Quasi-War with France in 1800?	John Adams	Thomas Jefferson	John Jay	Attacks by the French on American ships during the French Revolution was called a Quasi-War. Adams negotiated peace despite widespread calls for war.
Which Founding Father was given a slave, only to free it immediately?	Samuel Adams	Alexander Hamilton	John Adams	Slavery was obviously inconsistent with the principles of liberty, but no one could see an easy way out.  Samuel Adams wanted no part of it.
Which Founding Father was secretly asked to betray Washington, and revealed the plot to him rather than join it?	Patrick Henry	Alexander Hamilton	Thomas Jefferson	Rather than join the Conway Cabal, Patrick Henry informed Washington that Brigadier General Thomas Conway was plotting against him.
Which Founding Father agreed to move the nation's capitol to Washington DC in exchange for support for his economic proposals?	Alexander Hamilton	John Adams	John Jay	Originally located in New York City, Hamilton agreed to move it south in exchange for support for his plan to pay off debts still owed by the states.
Which Founding Father worked closely with Alexander Hamilton to write the Federalist Papers?	James Madison	John Jay	John Adams	James Madison wrote twenty nine of the eighty five Federalist essays, while John Jay wrote five and Hamilton wrote the other fifty one.
Which Founding Father negotiated a trade agreement with England in 1795 that avoided war but was extremely unpopular with many Americans?	John Jay	James Monroe	Thomas Jefferson	The Jay Treaty resolved lingering issues with England and faced widespread opposition, but was eventually ratified, removing barriers to trade.
